ID,Title,Description,Priority,Assignee,Status,Due Date,Labels,Dependencies
0.1,Define project vision,"Write a clear 2–3 sentence statement describing the problem, scope, and value of the MVP (fair housing allocation with transparent queue).",High,Unassigned,Todo,2025-09-15,planning,
0.2,Identify core stakeholders,"List all direct stakeholders (developer, end-user, advisor, tester). Include roles and expectations.",High,Unassigned,Todo,2025-09-16,planning,0.1
0.3,Research competitors,"Collect references of 3–5 similar projects to analyze feature gaps and extract lessons.",Medium,Unassigned,Todo,2025-09-17,research,0.1
0.4,Outline MVP features,"Draft a bulleted list of minimum features for Phase 0: single queue contract, applicant entry, queue retrieval, tests, and docs.",High,Unassigned,Todo,2025-09-18,planning,0.2;0.3
0.5,Select technology stack,"Evaluate blockchain framework (Foundry/Hardhat), backend (Node.js/TypeScript), and future AI/LLM integration.",High,Unassigned,Todo,2025-09-19,research,0.4
0.6,Set up repository,"Initialize GitHub repo with README, CONTRIBUTING, .gitignore, and license. Add base folder structure: /contracts, /scripts, /tests, /docs.",High,Unassigned,Todo,2025-09-19,infra,0.1;0.5
0.7,Set up task tracking,"Enable GitHub Projects board and import Phase 0 tasks. Configure labels: planning, research, infra, docs, contract, review.",High,Unassigned,Todo,2025-09-20,infra,0.6
0.8,Write Phase 0 documentation,"Create /docs/phase0_scope.md summarizing goals, tech choices, and task breakdown.",High,Unassigned,Todo,2025-09-21,docs,0.1;0.2;0.3;0.4;0.5
0.9,Define team roles & contribution model,"Clarify contribution workflow in CONTRIBUTING.md. Define review process, branching model, and coding style.",Medium,Unassigned,Todo,2025-09-21,docs,0.6;0.8
0.10,Research minimal smart contract design,"Draft QueueManager.sol interface: enqueue, getQueueLength, getPosition. Add inline notes on limitations and future expansion.",High,Unassigned,Todo,2025-09-22,contract,0.4;0.5
0.11,Implement basic queue smart contract,"Code first working version of QueueManager.sol with enqueue, getQueueLength, getPosition. Compile with Foundry.",High,Unassigned,Todo,2025-09-23,contract,0.10;0.6
0.12,Write basic unit tests,"Create /test/QueueManager.t.sol with tests for enqueue, length, and positions. Run `forge test`.",High,Unassigned,Todo,2025-09-24,contract,0.11
0.13,Document queue workflow,"Draw simple diagram of applicant → contract → queue. Save as /docs/phase0_queue_workflow.png. Reference in README.",Medium,Unassigned,Todo,2025-09-24,docs,0.11
0.14,Define success metrics,"Agree on Phase 0 metrics: repo initialized, contract compiles, tests >80% pass, docs + diagram in place.",Medium,Unassigned,Todo,2025-09-25,planning,0.8;0.12;0.13
0.15,Phase 0 retrospective,"After Phase 0 ends, document lessons learned: wins, blockers, improvements. Save as /docs/phase0_review.md.",Low,Unassigned,Todo,2025-09-26,review,0.14
