ID,Parent ID,Task Type,Title,"Description & Technical Notes","Learning Objective","Deliverable","Acceptance Criteria (AC)",Priority,Status,Story Points,Dependencies,Labels
M0,,Epic,Milestone 0: Project Foundation & Setup,"Establish a professional, reproducible development environment. This milestone is about building the workshop before you build the product.","",,Critical,Backlog,,,"infra"
M0.1,M0,Feature,Environment Setup,"Create the repository and a containerized local development environment for consistency.","Understand the importance of a clean, version-controlled, and reproducible developer setup.","A new GitHub repository and a working local Docker environment.",,Critical,Backlog,(Parent),,"infra"
M0.1.1,M0.1,Chore,Initialize Git Repository,"Create a GitHub repository. Add a README.md, a comprehensive .gitignore for Python/Solidity, and the core project directories: /contracts, /backend, /scripts, /tests, /docs.","Learn the fundamentals of version control with Git and standard project structuring.","A new public GitHub repository containing the specified files and folder structure.","The repository exists and is accessible online. The main branch contains the correct folder structure.",Critical,To Do,1,,"infra"
M0.1.2,M0.1,Chore,Install Core Tooling,"Install Foundry for smart contract development. Install Python and create a `requirements.txt` file for the backend. Add `web3.py` and `fastapi` to start.","Gain familiarity with the core tooling for Solidity and Python development.","Successful version checks for `forge` and `python` in the terminal.","`forge --version`, `python --version`, and `pip install -r requirements.txt` all execute without errors.",Critical,To Do,2,M0.1.1,"infra"
M0.1.3,M0.1,Chore,Containerize Services with Docker Compose,"Create a `docker-compose.yml` file to define and link services for a PostgreSQL database and an Anvil testnet node. This allows the entire dev environment to start with one command.","Understand how Docker Compose orchestrates multi-service local development environments.","A `docker-compose.yml` file in the root directory.","Running `docker-compose up` successfully starts both a PostgreSQL container and an Anvil container, with logs visible for both.",High,To Do,3,M0.1.2,"infra,docker"
M1,,Epic,Milestone 1: End-to-End Core Logic,"Prove the core cryptographic concept by connecting an off-chain script to an on-chain smart contract. This is the highest-risk and most novel part of the system.","",,Critical,Backlog,,,"blockchain,backend"
M1.1,M1,Feature,Implement BatchRegistry Contract,"Develop the primary smart contract responsible for storing Merkle root commitments, which acts as the on-chain anchor of trust.","Master the fundamentals of smart contract development, security, and Test-Driven Development (TDD) with Foundry.","A secure, tested, and well-documented `BatchRegistry.sol` contract.",,Critical,Backlog,(Parent),,"blockchain,test"
M1.1.0,M1.1,Research,Research OpenZeppelin AccessControl,"Read the official OpenZeppelin documentation for `AccessControl.sol`. Understand how roles are defined, granted, and checked with the `onlyRole` modifier.","Build the habit of reading technical documentation before implementing, a critical engineering skill.","A few bullet points in a personal log summarizing what `AccessControl` does and why it's useful.","You can explain what `DEFAULT_ADMIN_ROLE` and `keccak256(""OPERATOR_ROLE"")` do.",Critical,To Do,1,M0.1.3,"research,blockchain,security"
M1.1.1,M1.1,Task,Implement BatchRegistry.sol Structure,"Create `contracts/BatchRegistry.sol`. Import `AccessControl.sol` and `ReentrancyGuard.sol`. Define state variables and the `OPERATOR_ROLE` constant as per the architecture.","Learn basic Solidity syntax, state management, and how to import external dependencies.","A `BatchRegistry.sol` file that compiles successfully.","The command `forge build` executes without any compiler errors.",Critical,To Do,1,M1.1.0,"blockchain"
M1.1.2,M1.1,Test,Write Failing Test for commitBatch,"In `tests/BatchRegistry.t.sol`, write a test for the `commitBatch` function *before* implementing it. The test should fail because the function doesn't exist yet.","Understand the ""Red"" step of the Red-Green-Refactor TDD cycle.","A new test file with a single, failing test case.","Running `forge test` shows one test failing as expected.",Critical,To Do,1,M1.1.1,"blockchain,test"
